ID,Song Title,Artist,Year,YouTube MV Link,MV Start Time (Min.Second),YouTube Dance Practice Link,Dance Practice Start Time (Min.Sec),Duration (Second),Difficulty
124,Hoot,Girls' Generation,2010,https://youtu.be/F4-SxcCO5d0,1.22,https://youtu.be/PfPWxK1BQFI,0.45,44,Easy
125,The Boys,Girls' Generation,2011,https://youtu.be/6pA_Tou-DPI,2.17,https://youtu.be/XbDc7T8V3nQ,1.12,26,Medium
126,Monster,EXO,2017,https://youtu.be/KSH-FVVtTf0,0.41,https://youtu.be/e8q3OET5dwk,0.39,33,Medium
127,Hey Mama!,EXO-CBX,2016,https://youtu.be/AOzVyVv1HtQ,0.33,https://youtu.be/ab_mJX66WN8,0.33,41,Hard
128,I don't like your Girlfriend,Weki Meki,2017,https://youtu.be/bAsyhiaHzJQ,0.45,https://youtu.be/4j6oUkq0c68,0.44,25,Medium
129,I'm Jelly BABY,AOA CREAM,2016,https://youtu.be/oaxUPPdXkaI,1.32,https://youtu.be/opvOiql_DiM,1.04,30,Easy
130,Plz Don't Be Sad,Highlight,2017,https://youtu.be/1kcwvcbO8MI,0.57,https://youtu.be/cYZ-eW9F5OM,0.58,33,Medium
131,FIVE,APink,2017,https://youtu.be/b22Ed7f0D-0,1,https://youtu.be/L95nWQjC4eU,1,34,Easy
132,LUV,APink,2014,https://youtu.be/8dVjSvLzD1I,1.11,https://youtu.be/5XYxuVYmR6A,2.05,35,Easy
133,Remember,APink,2015,https://youtu.be/bXlrqQKbjSM,1.14,https://youtu.be/cjqxQganZaY,1.33,30,Easy
134,Only One,APink,2016,https://youtu.be/kCSFdRf0210,0.54,https://youtu.be/wlvEHu8DBg4,0.53,32.5,Easy
135,SHAKE IT,SISTAR,2015,https://youtu.be/x9-TIy7WPQI,0.5,https://youtu.be/O27fsGdpP-Y,0.51,39,Easy
136,I Like That,SISTAR,2016,https://youtu.be/LJVUjmNMF8c,1.01,https://youtu.be/ErfYlsY16UQ,1.19,29,Medium
137,I Swear,SISTAR,2014,https://youtu.be/8PrNPhVexE4,1.1,https://youtu.be/QFiAaqY2RpE,1.13,34,Medium
138,Give It To Me,SISTAR,2013,https://youtu.be/p6XLNsJ9YrA,0.54,https://youtu.be/jOBE9QSO9II,0.53,32,Medium
139,So Cool,SISTAR,2011,https://youtu.be/Pj3q0ZChgFE,0.57,https://youtu.be/UNAVw-Sbp1U,0.57,35.5,Medium
140,Alone,SISTAR,2012,https://youtu.be/E0ZHXVp_wUE,1.02,https://youtu.be/49eSmWfkOs4,1.07,38,Medium
141,Loving U,SISTAR,2012,https://youtu.be/oL2AlXWVbKU,0.38,https://youtu.be/RK_TkMWTdiw,0.38,52.5,Medium
142,Ma Boy,SISTAR19,2011,https://youtu.be/X6XXia5B2Wg,1.12,https://youtu.be/Z-XPIxwhY-Q,1.04,25,Easy
143,Gone Not Around Any Longer,SISTAR19,2013,https://youtu.be/JtVhwsACgTw,1.11,https://youtu.be/RPqxbCzztiQ,1.04,33,Medium
144,Dumb Dumb,Red Velvet,2015,https://youtu.be/XGdbaEDVWp0,0.38,https://youtu.be/RPqxbCzztiQ,0.44,42,Hard
145,Happiness,Red Velvet,2014,https://youtu.be/JFgv8bKfxEs,0.52,https://youtu.be/egb6_curQvc,0.52,52,Hard
146,Expectation,Girls Day,2013,https://youtu.be/fqR2HGkjFCA,0.4,https://youtu.be/Ecty0pfDYOA,0.46,30,Medium
147,Darling,Girls Day,2014,https://youtu.be/QB4dQcxgJPY,0.5,https://youtu.be/Lzm00Cn-7n8,1.14,39,Medium
148,Lucifer,SHINee,2010,https://youtu.be/Dww9UjJ4Dt8,0.12,https://youtu.be/ovztfpWPo5M,0.08,46,Hard
149,Sherlock (Clue + Note),SHINee,2012,https://youtu.be/8kyG5tTZ1iE,1.27,https://youtu.be/e0HYZxIzj8s,1.25,23,Medium
150,Everybody,SHINee,2013,https://youtu.be/hKbNV-4b_g8,1.23,https://youtu.be/GUf7hbpmFLg,2.46,43.5,Hard
151,ISLAND,WINNER,2017,https://youtu.be/kRj4toENrnA,0.59,https://youtu.be/B7jL-fTYDQs,0.58,27,Easy
152,YESTERDAY,Block B,2017,https://youtu.be/3q22SInyiX8,1.02,https://youtu.be/kZMAvjQYGkE,0.48,20,Easy
153,HER,Block B,2014,https://youtu.be/o0WCva5Stk4,0.36,https://youtu.be/5xVM4BP4IAA,0.36,31,Easy
154,Very Good,Block B,2013,https://youtu.be/kJGcO5Une-g,0.55,https://youtu.be/tmJG1e-0Emg,0.24,24,Medium
155,JACKPOT,Block B,2014,https://youtu.be/h4zvN1Pjzn8,1.16,https://youtu.be/1RvfGSSFlyc,0.51,34,Easy
156,Toy,Block B,2016,https://youtu.be/JtjxZoa_LHM,0.55,https://youtu.be/OWTtAhVoF58,0.47,39,Easy
157,Shall We Dance,Block B,2017,https://youtu.be/NHglTopVlKQ,0.39,https://youtu.be/29BvV_UAvO0,1.04,22,Medium
158,The Eye,INFINITE,2016,https://youtu.be/Cmhca-ROWwQ,1.57,https://youtu.be/0_CyXpP5dyY,1.28,55,Hard
159,Bad,INFINITE,2015,https://youtu.be/i1oTSAhdzNQ,0.59,https://youtu.be/znxqh60w5p8,1.04,23,Hard
160,Last Romeo,INFINITE,2014,https://youtu.be/L7kaScuQ0KM,1.38,https://youtu.be/Keux-aGfoM4,2.01,36.5,Medium
161,Back,INFINITE,2014,https://youtu.be/YiiqHq_kNnU,1.32,https://youtu.be/pxsDPxRfV0E,1.23,67,Hard
162,The Chaser,INFINITE,2012,https://youtu.be/wgmSImDoJNg,1.34,https://youtu.be/RTXmhKapmCI,0.45,20,Medium
163,BTD,INFINITE,2011,https://youtu.be/JvNUilVWFDs,1.22,https://youtu.be/F8s8v9Mj8XM,0.44,32,Medium
164,BBoom BBoom,MOMOLAND,2018,https://youtu.be/JQGRg8XBnB4,1.04,https://youtu.be/hLv5MBuSYDY,1.07,36,Easy
165,Abracadabra,Brown Eyed Girls,2009,https://youtu.be/ofwFr8o8p0Y,0.4,https://youtu.be/y3sDTpwEi7E,0.12,22.5,Easy
166,Hobgoblin,CLC,2017,https://youtu.be/TcdeTC0W16k,0.05,https://youtu.be/lyzpY6RkUA8,1.01,18,Medium
167,I AM THE BEST,2NE1,2011,https://youtu.be/j7_lSP8Vc3o,1.21,https://youtu.be/fl19JYqW6MI,1.2,19,Easy
168,Crazy,4MINUTE,2015,https://youtu.be/1nCLBTmjJBY,0.52,https://youtu.be/2qJPDmUhPIM,0.52,25,Easy
169,Hate,4MINUTE,2016,https://youtu.be/D_F9HUTYnl0,1.1,https://youtu.be/K75mypcWXak,1.04,31.5,Easy
170,WE LIKE,Pristin,2017,https://youtu.be/J6LAzgZi8N8,1.02,https://youtu.be/DOx-aamQ0Ag,1.04,20.5,Easy
171,Pick Me,Wanna One,2017,https://youtu.be/NIld_iEc67s,1.47,https://youtu.be/i_3vc7FMydw,1,67,Hard
172,GANGNAM STYLE,PSY,2012,https://youtu.be/9bZkp7q19f0,1.01,https://youtu.be/aVcUPeMsUUU,0.58,39.5,Easy
173,GENTLEMAN,PSY,2013,https://youtu.be/ASO_zypdnsQ,0.53,https://youtu.be/pGBbvAGnTxA,0.58,24,Easy
174,DADDY,PSY,2015,https://youtu.be/FrG4TEcSuRg,1.15,https://youtu.be/pGBbvAGnTxA,1.09,33,Easy
175,Rollin',B1A4,2017,https://youtu.be/cbBMwrdEIdc,0.4,https://youtu.be/dLb3-eNEmec,0.5,17,Medium
176,New Face,PSY,2017,https://youtu.be/OwJPPaEyqhI,0.52,https://youtu.be/y8Ewdrr7bxA,0.46,27,Medium
177,Whatta Man,IOI,2016,https://youtu.be/fOn5tSagerY,0.44,https://youtu.be/B59QHTefF4M,1.21,31,Easy
178,Bubble Pop!,HyunA,2011,https://youtu.be/bw9CALKOvAI,0.4,https://youtu.be/uf0iPEjcM44,0.41,36,Easy
179,What's Happening,B1A4,2013,https://youtu.be/oqxHy4G9FMI,0.41,https://youtu.be/P9Lu8FwEeVE,1.2,35,Medium
180,Lip & Hip,HyunA,2017,https://youtu.be/vcqImqOVE2U,1.02,https://youtu.be/jiKms3ta2Sw,1.08,40,Easy
181,BABE,HyunA,2017,https://youtu.be/b9xndFqGJ4k,0.46,https://youtu.be/yeTccAnXDJw,0.46,42,Medium
182,Fantasy,VIXX,2016,https://youtu.be/IuaRdAozUI0,0.5,https://youtu.be/M76CbVfndT8,0.5,20,Hard
183,BABY GOOD NIGHT,B1A4,2012,https://youtu.be/j_ZnxKSPJH8,0.58,https://youtu.be/VTEVKlROzbI,0.39,34,Easy
184,Chained Up,VIXX,2015,https://youtu.be/vqzBrI76e4g,0.53,https://youtu.be/yeQrFlCDOQs,0.38,26,Medium
185,Error,VIXX,2014,https://youtu.be/IF8kySIcWNw,1.18,https://youtu.be/aqrmuHhp-4I,1.25,40,Medium
186,Dynamite,VIXX,2016,https://youtu.be/4bnIb1JJHdA,0.46,https://youtu.be/QbnyOn4jeeg,0.48,32,Medium
187,Going Crazy,UP10TION,2017,https://youtu.be/l-qQUYcqTJs,0.55,https://youtu.be/_b-jllwft_A,0.53,40,Hard
188,Runner,UP10TION,2017,https://youtu.be/kGQSmW8X1H0,0.51,https://youtu.be/D0ZBx8rX9zg,0.5,27,Hard
189,"So, Dangerous",UP10TION,2015,https://youtu.be/6cBQ9DzpQRk,2,https://youtu.be/NzZnmfiKFW8,1.13,10,Medium
190,Attention,UP10TION,2016,https://youtu.be/TGzFv3g3luA,0.52,https://youtu.be/6L9l5Ozx6ss,0.53,23,Medium
191,Heart Attack,AOA,2015,https://youtu.be/1pBgMBBsv4k,1.43,https://youtu.be/zq-spTKsjDc,1.04,19,Easy
192,Like a Cat,AOA,2014,https://youtu.be/qEYOyZVWlzs,1.24,https://youtu.be/srK7Vj5p9Tg,0.57,41.5,Easy
193,Good Luck,AOA,2016,https://youtu.be/sno_genwMz8,1.24,https://youtu.be/HA1rjiM1sQk,0.51,26,Medium
194,Excuse Me,AOA,2017,https://youtu.be/NRlDo3JuzfI,1.17,https://youtu.be/4y9RJeS42Oc,1.04,34,Easy
195,L.I.E.,EXID,2016,https://youtu.be/RnDSODY7bVE,1.1,https://youtu.be/9BIJ-2iXOyc,0.34,47,Medium
196,HOT PINK,EXID,2015,https://youtu.be/8NaeaLW8CLY,1.18,https://youtu.be/rGwra24x7yI,1.18,26,Easy
197,Ah Yeah,EXID,2015,https://youtu.be/egqDPipqIAg,0.53,https://youtu.be/iP2EdQokVSE,0.53,29.5,Easy
198,Again & Again,2PM,2009,https://youtu.be/cUgReo37ECw,0.57,https://youtu.be/vhwUOHJuEsE,0.48,20.5,Easy
199,Mamma Mia,Kara,2014,https://youtu.be/6tK0XUQQ3wA,1,https://youtu.be/zXQvssll_I4,0.55,38,Medium
200,I Don't Need a Man,Miss A,2012,https://youtu.be/EkSOOiMDGiY,1.26,https://youtu.be/KFXAAk1Ha-I,1.08,30.5,Medium
201,Boy ,THE BOYZ,2017,https://youtu.be/yuk0LHFSlR8,1.57,https://youtu.be/D5MRgXsDDMc,1.52,17,Hard
202,My Flower,JBJ,2018,https://youtu.be/uexk7jWXYmU,0.46,https://youtu.be/8ch22Pjd6Q0,0.37,43,Medium
203,Shine,PENTAGON,2018,https://youtu.be/Nu2yQ1zYDYU,0.46,https://youtu.be/6_v8n_zb5ak,0.46,31,Medium
204,Giddy Up,THE BOYZ,2018,https://youtu.be/DNH7X46gMjQ,0.56,https://youtu.be/VOCH6_Eytj8,0.46,40,Medium
205,Starry Night,MAMAMOO,2018,https://youtu.be/LjUXm0Zy_dk,1.13,https://youtu.be/NCaIPwsJ1Ls,1.04,25,Easy
206,Just Do It,SEVENTEEN,2018,https://youtu.be/h-LIrDa0VeA,0.35,https://youtu.be/tDqK3ugZcM0,1.34,39,Easy
207,Fire Truck,NCT 127,2016,https://youtu.be/_psXn_VJ_AE,1.49,https://youtu.be/ssBGdX5-h94,1.44,22,Hard
208,O.M.G,HALO,2018,https://youtu.be/hwWgRzRu22c,0.5,https://youtu.be/_K1ulePiGCM,0.51,22,Medium
209,Tulips,SNUPER,2018,https://youtu.be/onqSAgAqpLQ,0.51,https://youtu.be/J5i4IcP4sMs,0.5,24,Easy
210,LATATA,(G)I-DLE,2018,https://youtu.be/p4RIhcY7V3c,0.41,https://youtu.be/a-kXWfdJ6ls,0.34,38,Medium
211,Roller Coaster,CHUNG HA,2018,https://youtu.be/900X9fDFLc4,0.54,https://youtu.be/5-soos0b7bc,0.51,37,Easy
212,Feeling,Unb,2018,https://youtu.be/VznBK_Yv6YI,1.2,https://youtu.be/xPIQJmnz-iw,0.37,39,Hard
213,Cherry On Top,Unit G,2018,https://youtu.be/xFkwGEWs0Eo,0.28,https://youtu.be/NqYla0-1MoE,0.25,29,Easy
214,Time for the moon night,GFRIEND,2018,https://youtu.be/_XyBa8QsVQU,1.08,https://youtu.be/PfMIkyJdxYw,1.07,41,Hard
215,What is Love?,Twice,2018,https://youtu.be/i0p1bmr0EmE,0.43,https://youtu.be/WhHEQ-W3x5Y,0.43,29,Easy
216,FAKE LOVE,BTS,2018,https://youtu.be/7C2z4GqqS5E,1.4,https://youtu.be/nQySbNGu4g0,1.21,44,Hard
217,Bad Boy,Red Velvet,2018,https://youtu.be/J_CFBjAyPWE,0.48,https://youtu.be/jyTpBWCgC8w,1.01,41,Medium
218,YOU AND I,Dreamcatcher,2018,https://youtu.be/I5_BQAtwHws,0.46,https://youtu.be/QA4mw_jL-E8,0.46,32,Medium
219,PICK ME,PRODUCE 48,2018,https://youtu.be/UOmolLOQ7Rs,1.54,https://youtu.be/UOmolLOQ7Rs,1.54,49,Easy
220,LOVE SCENARIO,iKON,2018,https://youtu.be/vecSVX1QYbQ,1.19,https://youtu.be/heIvcW7nw5U,1.19,21,Easy
221,THANKS,SEVENTEEN,2018,https://youtu.be/gZItyr1SNjU,1.09,https://youtu.be/7xKwpPQiPGs,1.29,21,Hard
222,CLAP,SEVENTEEN,2018,https://youtu.be/CyzEtbG-sxY,1.16,https://youtu.be/K_qlkKYL-54,2.17,29,Hard
223,EVERYDAY,WINNER,2018,https://youtu.be/d1D1SJ-KqaQ,1.08,https://youtu.be/PHmBGkEFW78,1.08,20,Easy
224,SEOUL NIGHT,TEEN TOP,2018,https://youtu.be/qbl-vSVcI0o,0.48,https://youtu.be/z1kmPJlpiIw,0.48,35,Hard
225,That day,Lovelyz,2018,https://youtu.be/40Z9-kr504w,0.53,https://youtu.be/uzTs5TM-9AU,1.14,38,Easy
226,Mirror,Stray Kids,2018,https://youtu.be/rXEy8r5P_vc,0.47,https://youtu.be/rXEy8r5P_vc,0.47,28,Medium
227,District 9,Stray Kids,2018,https://youtu.be/u6unJQownW4,0.39,https://youtu.be/VRBiibeXJEk,0.3,48,Hard
228,Lo Siento,Super Junior,2018,https://youtu.be/ZbB4SYJNuTo,1.1,https://youtu.be/WNI9-GiBDrc,0.46,25,Medium
229,Scientist,VIXX,2018,https://youtu.be/MctZLEYlU4s,0.46,https://youtu.be/HE3EjG47t0s,0.52,20,Medium
230,BOSS,NCT U,2018,https://youtu.be/0AUFyFEt35g,0.44,https://youtu.be/-7tSTUR7FG0,0.44,24,Hard
231,Blooming Day,EXO-CBX,2018,https://youtu.be/Ib674A1yMtg,0.46,https://youtu.be/UdjEoGzXxmI,0.46,21,Medium
232,MOVE,TAEMIN,2017,https://youtu.be/rcEyUNeZqmY,0.53,https://youtu.be/_cAskH1PtmQ,0.38,33,Easy
233,NEGA DOLA,BoA,2018,https://youtu.be/pykyNOEVqCU,0.56,https://youtu.be/O1JAH1dqaL4,0.5,34.5,Hard
234,"ONE SHOT, TWO SHOT",BoA,2018,https://youtu.be/Xg_4tbLnIOc,1.05,https://youtu.be/7cb9Bjq-2sw,1,20,Medium
235,Only One,BoA,2012,https://youtu.be/PQjovLrnvVo,1.3,https://youtu.be/PQjovLrnvVo,1.3,27,Medium
236,FALLING IN LOVE,2NE1,2013,https://youtu.be/zEVd9pSG85Q,1.06,https://youtu.be/gceDuSLvCPU,1.06,38,Easy
237,FIRE,2NE1,2009,https://youtu.be/49AfuuRbgGo,1.13,https://youtu.be/ypRUfMTqaus,1.11,24,Medium
238,I LOVE YOU,2NE1,2012,https://youtu.be/LUrUPzLm5SI,0.38,https://youtu.be/ZZEiDiDhlpI,0.32,24,Easy
239,DO YOU LOVE ME,2NE1,2013,https://youtu.be/HRTb81FpWq0,1.26,https://youtu.be/gwVWMmcM7HQ,1.26,23,Easy
240,GOTTA BE YOU,2NE1,2014,https://youtu.be/zdKTgwffmdo,1.03,https://youtu.be/9Lk6lnTS5sU,1.03,33,Medium
241,BOOMERANG,Wanna One,2018,https://youtu.be/pmMjkMtpnTc,1.2,https://youtu.be/fiNrArzZa7Q,1.2,22,Medium
242,Good Evening,SHINee,2018,https://youtu.be/7dGwk5-QMpc,1.05,https://youtu.be/s58M3eOtICI,1,28,Easy
243,Heroine,Sunmi,2018,https://youtu.be/F4qfN5UeFvQ,1.14,https://youtu.be/XGotInNBR9c,1.01,33.5,Medium
244,Selfish,Moon Byul,2018,https://youtu.be/QG8bUKBT9FI,0.38,https://youtu.be/Eg-itP1rJ18,0.32,38,Medium
245,Why Don't You Know,CHUNG HA,2017,https://youtu.be/EHgeGRU3wDI,0.48,https://youtu.be/w3nML8P6kQQ,0.41,36,Medium
246,Roly Poly,T-ara,2011,https://youtu.be/kowfLIRpQaU,1.06,https://youtu.be/mOO2hA2gE9E,0.57,36,Easy
247,Rum Pum Pum Pum,f(x),2013,https://youtu.be/xnku4o3tRB4,0.52,https://youtu.be/8TRiOjHr2S0,1.06,23,Medium
248,Hot Summer,f(x),2011,https://youtu.be/z-rftpZ7kCY,1.04,https://youtu.be/150C8Ej0tyg,1,27,Easy
249,Mirotic,TVXQ!,2008,https://youtu.be/HtJS32n6LNQ,0.44,https://youtu.be/O_2yfWPZWJI,0.26,36.5,Medium
250,Lotto,EXO,2016,https://youtu.be/tbe3pe2BtwA,1.2,https://youtu.be/aaRZGGCx4KM,1.22,40,Hard